,size,db,task,method,trial,fold,score,scorer,selection,X_shape,Type,imputation_WCT,tuning_WCT,imputation_PT,tuning_PT
87,2500,MIMIC,hemo_pvals,KNN+mask,2,2,0.7289302908421048,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.8134620000000004,112.18891299999999,13.298886999999999,3579.360986
88,2500,MIMIC,hemo_pvals,KNN+mask,2,3,0.7639107412782105,roc_auc_score,ANOVA,"(30836, 100)",Classification,2.769443,113.32621100000001,11.682064,3616.1122179999998
89,2500,MIMIC,hemo_pvals,KNN+mask,2,4,0.716918086011177,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.8258339999999995,124.96026499999999,18.326275,3966.300197
90,2500,MIMIC,hemo_pvals,KNN+mask,3,0,0.767866048916845,roc_auc_score,ANOVA,"(30836, 100)",Classification,4.687506,122.107115,14.866427,3904.5306950000004
91,2500,MIMIC,hemo_pvals,KNN+mask,3,1,0.7797885859544335,roc_auc_score,ANOVA,"(30836, 100)",Classification,4.999454,115.04583000000001,16.592543,3679.123395
92,2500,MIMIC,hemo_pvals,KNN+mask,3,2,0.7456446609474321,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.135727,115.77520600000001,15.560861,3698.900528
93,2500,MIMIC,hemo_pvals,KNN+mask,3,3,0.7644197505612869,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.1022939999999997,115.00941399999999,17.189346,3674.5306920000003
94,2500,MIMIC,hemo_pvals,KNN+mask,3,4,0.7566022551579478,roc_auc_score,ANOVA,"(30836, 100)",Classification,4.866973000000001,119.04820900000001,16.933832000000002,3802.8662289999997
95,2500,MIMIC,hemo_pvals,KNN+mask,4,0,0.7706682753362218,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.46501,118.32902,15.608379000000001,3784.238911
96,2500,MIMIC,hemo_pvals,KNN+mask,4,1,0.7585441367921455,roc_auc_score,ANOVA,"(30836, 100)",Classification,4.026408999999999,119.405699,15.337822000000001,3818.585504
97,2500,MIMIC,hemo_pvals,KNN+mask,4,2,0.739091921570455,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.4309540000000003,117.82792099999999,13.167193,3766.88785
98,2500,MIMIC,hemo_pvals,KNN+mask,4,3,0.7539383708682371,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.4492239999999996,116.367931,16.999454999999998,3717.9734200000003
99,2500,MIMIC,hemo_pvals,KNN+mask,4,4,0.7529686814303522,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.1551810000000002,118.662979,13.279932999999998,3791.563268
100,2500,MIMIC,hemo_pvals,MIA,0,0,0.7858492312432279,roc_auc_score,ANOVA,"(30836, 100)",Classification,,75.279619,,2407.312063
101,2500,MIMIC,hemo_pvals,MIA,0,1,0.7610036147598884,roc_auc_score,ANOVA,"(30836, 100)",Classification,,79.149199,,2529.2313480000003
102,2500,MIMIC,hemo_pvals,MIA,0,2,0.7469417802293304,roc_auc_score,ANOVA,"(30836, 100)",Classification,,74.46072099999999,,2382.5112059999997
103,2500,MIMIC,hemo_pvals,MIA,0,3,0.7863848215468514,roc_auc_score,ANOVA,"(30836, 100)",Classification,,69.112139,,2211.536781
104,2500,MIMIC,hemo_pvals,MIA,0,4,0.7645101950727591,roc_auc_score,ANOVA,"(30836, 100)",Classification,,73.366118,,2346.7068489999997
105,2500,MIMIC,hemo_pvals,MIA,1,0,0.7397674505910179,roc_auc_score,ANOVA,"(30836, 100)",Classification,,77.201483,,2465.0867559999997
106,2500,MIMIC,hemo_pvals,MIA,1,1,0.7809156902672472,roc_auc_score,ANOVA,"(30836, 100)",Classification,,73.10996800000001,,2339.1707100000003
107,2500,MIMIC,hemo_pvals,MIA,1,2,0.7964030183266644,roc_auc_score,ANOVA,"(30836, 100)",Classification,,72.64978599999999,,2324.654973
108,2500,MIMIC,hemo_pvals,MIA,1,3,0.7631834741997969,roc_auc_score,ANOVA,"(30836, 100)",Classification,,73.180995,,2340.996216
109,2500,MIMIC,hemo_pvals,MIA,1,4,0.7607764678570303,roc_auc_score,ANOVA,"(30836, 100)",Classification,,74.05844,,2364.865905
110,2500,MIMIC,hemo_pvals,MIA,2,0,0.7692967637175974,roc_auc_score,ANOVA,"(30836, 100)",Classification,,77.397126,,2474.895051
111,2500,MIMIC,hemo_pvals,MIA,2,1,0.748591874751612,roc_auc_score,ANOVA,"(30836, 100)",Classification,,72.84716,,2330.9112579999996
112,2500,MIMIC,hemo_pvals,MIA,2,2,0.7806337847360216,roc_auc_score,ANOVA,"(30836, 100)",Classification,,74.67473100000001,,2385.086878
